,li,wiki_idx,ar,en,vocal_forms,nesba,ar_letters,senses,gender,plural,root
3,1558,8230,أفْغانِيّ,afghani_1_N,أَفْغَانِيّ,0,همزة على الألف-فتحة | فاء-سكون | غين-فتحة | ألف | نون-كسرة | ياء-شدة,['Afghan'],masc,أَفْغَان,أفغان
6,1643,1770,سِنّ,age_1_N,سِنّ,0,سين-كسرة | نون-شدة,"['tooth, tusk, fang / point or tip / a spearhead or arrowhead / age (years of life) / cog, sprocket, prong']",fem,أَسْنَان,سنن
10,4109,503,مِنْطقة,area_6_N,مِنْطَقَة,0,ميم-كسرة | نون-سكون | طاء-فتحة | قاف-فتحة | تاء مربوطة,"['belt, girdle / zone / vicinity, range, district, area, territory, sphere / military sector / area, an administrative subdivision of Kuwait / province']",fem,مِنْطَقَات,نطق
11,4109,504,مِنْطقة,area_6_N,مَنْطِقَة,0,ميم-فتحة | نون-سكون | طاء-كسرة | قاف-فتحة | تاء مربوطة,"['zone / vicinity, range, district, area, territory, sphere / military sector / area, an administrative subdivision of Kuwait / province']",fem,مَنْطِقَات,نطق
12,4109,505,مِنْطقة,area_6_N,مَنْطَقَة,0,ميم-فتحة | نون-سكون | طاء-فتحة | قاف-فتحة | تاء مربوطة,['verbal noun of مَنْطَقَ (manṭaqa) (form Iq)'],fem,مَناطِق,نطق
14,4871,115331,آشوري,assyrian_2_N,آشُورِيّ,0,ألف ممدودة | شين-ضمة | واو | راء-كسرة | ياء-شدة,"['Assyrian, Ashurite']",masc,آشُورِيُّون,أشور
15,6160,6264,منع,ban_2_N,مَنْع,0,ميم-فتحة | نون-سكون | عين,['verbal noun of مَنَعَ (manaʕa) (form I) / prevention'],masc,مُنُوعات,منع
18,7316,123391,بيلاروسي,belarusian_N,بِيلَارُوسِيّ,0,باء-كسرة | ياء | لام-فتحة | ألف | راء-ضمة | واو | سين-كسرة | ياء-شدة,['Belarusian (person)'],masc,بيلاروسيون,
27,9270,274,كِتاب,book_1_N,كِتَاب,0,كاف-كسرة | تاء-فتحة | ألف | باء,"[""verbal noun of كَتَبَ (kataba) (form I) / verbal noun of كَاتَبَ (kātaba) (form III) / letter, note, paper, piece of writing, message / book / the Scripture, the Qur'an or the Bible / record, document, deed, contract / a marriage contract.""]",masc,كُتُب,كتب
35,9394,4496,حدّ,border_1_N,حَدّ,0,حاء-فتحة | دال-شدة,"['verbal noun of حَدَّ (ḥadda) (form I) / limit / boundary, border / frontier / term / end, goal, aim / district / reach, sphere of action / difference / definition / rule / punishment / edge, point / passion / intoxicating strength of liquors / strength, bravery / energy / manner, way / hindrance / side']",masc,حُدُود,حدد
39,10872,116897,بلغاري,bulgarian_N,بُلْغارِيّ,0,باء-ضمة | لام-سكون | غين | ألف | راء-كسرة | ياء-شدة,['Bulgarian (native or inhabitant of Bulgaria)'],masc,بُلْغار,بلغار
40,13580,827,رئِيس,chairman_N,رَئِيس,0,راء-فتحة | همزة على الياء-كسرة | ياء | سين,"['boss, chief, leader / director / headmaster, principal / chairman / governor / president / manager, superintendent / conductor / captain']",masc,رُؤَسَاء,رءس
44,14359,271,صينية,chinese_N,صِينِيَّة,0,صاد-كسرة | ياء | نون-كسرة | ياء-شدة-فتحة | تاء مربوطة,['Chinese language'],fem,صينيين,صين
46,14638,26955,مَسِيحِيَّة,christianity_1_N,مَسِيحِيَّة,0,ميم-فتحة | سين-كسرة | ياء | حاء-كسرة | ياء-شدة-فتحة | تاء مربوطة,['Christianity / female equivalent of مَسِيحِيّ (masīḥiyy)'],fem,مَسِيحِيَّات,مسح
54,19228,2413,بلد,country_2_N,بَلَد,0,باء-فتحة | لام-فتحة | دال,"['country, land, homeland / town, city / place, village, community']",masc,بِلَاد,بلد
55,20590,115590,عُمْلة,currency_1_N,عُمْلَة,0,عين-ضمة | ميم-سكون | لام-فتحة | تاء مربوطة,"['currency, standardized money']",fem,عُمْلَات,عمل
67,21757,20869,نقْص,decline_1_N,نَقْص,0,نون-فتحة | قاف-سكون | صاد,['verbal noun of نَقَصَ (naqaṣa) (form I) / reduction / lack'],masc,نُقُوصات,نقص
74,22351,5003,جُمْهُورِيّة,democracy_2_N,جُمْهُورِيَّة,0,جيم-ضمة | ميم-سكون | هاء-ضمة | واو | راء-كسرة | ياء-شدة-فتحة | تاء مربوطة,['republicanism / republic'],fem,جُمْهُورِيَّات,جمهر
82,26444,115123,هولندي,dutch_N,هُولَنْدِيّ,0,هاء-ضمة | واو | لام-فتحة | نون-سكون | دال-كسرة | ياء-شدة,"['Netherlander, Dutchman']",masc,هُولَنْدِيُّونَ,
83,26652,3888,شرق,east_4_N,شَرْق,0,شين-فتحة | راء-سكون | قاف,['east; Orient'],masc,مَشارِق,شرق
86,28346,13023,مُساواة,equality_1_N,مُسَاوَاة,0,ميم-ضمة | سين-فتحة | ألف | واو-فتحة | ألف | تاء مربوطة,"['verbal noun of سَاوَى (sāwā) (form III) / equality, equivalence / equal rights / settlement (of a bill)']",fem,مُساوَيات,سوي
91,31802,1086,علم,flag_1_N,عَلَم,0,عين-فتحة | لام-فتحة | ميم,"['sign, token, mark, badge / harelip / road sign, guidepost / flag, banner / authority, luminary, star, personage, distinguished man / a mountain / proper noun']",masc,أَعْلَام,علم
94,32046,120971,خَلَل,flaw_3_N,خَلَل,0,خاء-فتحة | لام-فتحة | لام,"['gap, breach, interstice, interspace, chink / flaw, imbalance, bug, disturbance, trait of disorder']",masc,خِلَال,خلل
99,32346,794,دقِيق,flour_N,دَقِيق,0,دال-فتحة | قاف-كسرة | ياء | قاف,"['flour, meal']",masc,غير معدود,
106,33608,290,فرنسية,french_N,فَرَنْسِيَّة,0,فاء-فتحة | راء-فتحة | نون-سكون | سين-كسرة | ياء-شدة-فتحة | تاء مربوطة,"['female equivalent of فَرَنْسِيّ (faransiyy, “a Frenchman”): a Frenchwoman / the French language, French']",fem,فَرَنْسِيَّات,
123,40068,450,فُنْدُق,hotel_N,فُنْدُق,0,فاء-ضمة | نون-سكون | دال-ضمة | قاف,['inn / hotel'],masc,فَنَادِق,فندق
125,40241,3023,بشر,human_N,بَشَر,0,باء-فتحة | شين-فتحة | راء,"['human / humans, humankind']",masc,بَشَر,بشر
137,41860,875,دخْل,income_N,دَخْل,0,دال-فتحة | خاء-سكون | لام,"['income / revenues, receipts, returns / interference, intervention / doubt, misgiving']",masc,دُخُول,دخل
139,42126,23122,دَلِيل,index_2_N,دَلِيل,0,دال-فتحة | لام-كسرة | ياء | لام,"['sign, indication, proof, demonstration, evidence, argument / syllogism / road sign / road, street / guidebook / index (alphabetical listing)']",masc,أَدِلَّة,دلل
144,42375,4863,تفاوت,inequality_N,تَفَاوُت,0,تاء-فتحة | فاء-فتحة | ألف | واو-ضمة | تاء,['verbal noun of تَفَاوَتَ (tafāwata) (form VI)'],masc,تَفاوُتات,فوت
146,42549,4618,تضخُّم,inflation_1_N,تَضَخُّم,0,تاء-فتحة | ضاد-فتحة | خاء-شدة-ضمة | ميم,['verbal noun of تَضَخَّمَ (taḍaḵḵama) (form V) / inflation (“increase in prices”)'],masc,تَضَخُمات,ضخم
150,44251,330,إيطالية,italian_N,إِيطَالِيَّة,0,همزة تحت الألف-كسرة | ياء | طاء-فتحة | ألف | لام-كسرة | ياء-شدة-فتحة | تاء مربوطة,['Italian language'],fem,إيطاليات,
157,45634,695,ملك,king_1_N,مَلِك,0,ميم-فتحة | لام-كسرة | كاف,"['king, sovereign, monarch']",masc,مُلُوك,ملك
171,46677,124664,لاتفي,latvian_N,لَاتْفِيّ,0,لام-فتحة | ألف | تاء-سكون | فاء-كسرة | ياء-شدة,['Latvian man'],masc,لاتيفيون,
173,46893,827,رئِيس,leader_1_N,رَئِيس,0,راء-فتحة | همزة على الياء-كسرة | ياء | سين,"['boss, chief, leader / director / headmaster, principal / chairman / governor / president / manager, superintendent / conductor / captain']",masc,رُؤَسَاء,رءس
180,52883,127093,ملكِيّة,monarchy_N,مَلَكِيَّة,0,ميم-فتحة | لام-فتحة | كاف-كسرة | ياء-شدة-فتحة | تاء مربوطة,['monarchy'],fem,مَلَكِيَّات,ملك
182,53331,3220,أُمّ,mother_1_N,أُمّ,0,همزة على الألف-ضمة | ميم-شدة,['mother / origin / source'],fem,أُمَّهَات,ءمم
188,53939,75,مسلم,muslim_A,مُسْلِم,0,ميم-ضمة | سين-سكون | لام-كسرة | ميم,['Muslim'],masc,مُسْلِمُون,سلم
194,55534,825,شمال,north_3_N,شَمَال,0,شين-فتحة | ميم-فتحة | ألف | لام,['north'],fem,,شمل
206,63727,827,رئِيس,presidentFem_3_N,رَئِيس,0,راء-فتحة | همزة على الياء-كسرة | ياء | سين,"['boss, chief, leader / director / headmaster, principal / chairman / governor / president / manager, superintendent / conductor / captain']",masc,رُؤَسَاء,رءس
208,63733,827,رئِيس,presidentMasc_3_N,رَئِيس,0,راء-فتحة | همزة على الياء-كسرة | ياء | سين,"['boss, chief, leader / director / headmaster, principal / chairman / governor / president / manager, superintendent / conductor / captain']",masc,رُؤَسَاء,رءس
210,66045,203,مَلِكَة,queen_2_N,مَلِكَة,0,ميم-فتحة | لام-كسرة | كاف-فتحة | تاء مربوطة,['queen'],fem,مَلِكَات,ملك
214,66938,23164,سِعْر,rate_2_N,سِعْر,0,سين-كسرة | عين-سكون | راء,['price / quote (a summary of work to be done with a set price)'],masc,أَسْعَار,سعر
218,66942,23964,معدل,rate_4_N,مُعَدَّل,0,ميم-ضمة | عين-فتحة | دال-شدة-فتحة | لام,['rate / average'],masc,مُعَدَّلات,عدل
222,68607,877,دِين,religion_2_N,دِين,0,دال-كسرة | ياء | نون,"['verbal noun of دَانَ (dāna, “to be religious”) (form I) / religion, creed, credo, faith, conviction, belief, tenet, rite / conformism, conformance, conformity, compliance, fealty, obedience; God-fearingness, godliness, religiosity, devoutness / law, obligations, duty / custom, habit / judgement, decision, ruling, requital, compensation, indemnification / judgement, decision, ruling, credit, obligation, account, falling due of a debt']",masc,أَدْيَان,دين
227,69144,5003,جمهورية,republic_2_N,جُمْهُورِيَّة,0,جيم-ضمة | ميم-سكون | هاء-ضمة | واو | راء-كسرة | ياء-شدة-فتحة | تاء مربوطة,['republicanism / republic'],fem,جُمْهُورِيَّات,جمهر
231,71636,5692,روسي,russian_N,رُوسِيّ,0,راء-ضمة | واو | سين-كسرة | ياء-شدة,['Russian'],masc,,
244,78344,2177,جنُوب,south_3_N,جَنُوب,0,جيم-فتحة | نون-ضمة | واو | باء,['south'],masc,,جنب
248,78499,25932,إسباني,spanish_N,إِسْبَانِيّ,0,همزة تحت الألف-كسرة | سين-سكون | باء-فتحة | ألف | نون-كسرة | ياء-شدة,['Spaniard'],masc,,
260,80047,3927,نشاء,starch_1_N,نَشَاء,0,نون-فتحة | شين-فتحة | ألف | همزة,"['starch, cornstarch, farina']",masc,,نشو
271,84927,10668,إِرْهابِيّ,terrorist_N,إِرْهَابِيّ,0,همزة تحت الألف-كسرة | راء-سكون | هاء-فتحة | ألف | باء-كسرة | ياء-شدة,['terrorist'],masc,,رهب
274,85050,206,تايلاندي,thai_N,تَايْلَانْدِيّ,0,تاء-فتحة | ألف | ياء-سكون | لام-فتحة | ألف | نون-سكون | دال-كسرة | ياء-شدة,['Thai language'],masc,,
280,88263,305,تركية,turkish_N,تُرْكِيَّة,0,تاء-ضمة | راء-سكون | كاف-كسرة | ياء-شدة-فتحة | تاء مربوطة,['Turkish language'],fem,,
281,93157,842,ماء,water_1_N,مَاء,0,ميم-فتحة | ألف | همزة,"['water / liquid, fluid, the liquefied or molten form of a metal (usually gold, silver, or copper) / liquid, fluid, conceptive fluid; ejaculation']",masc,مِيَاه,موه
287,93660,5764,غرْب,west_2_N,غَرْب,0,غين-فتحة | راء-سكون | باء,"['verbal noun of غَرَبَ (ḡaraba) (form I) / west, occident / vehemence, violence, tempestuousness']",masc,مَغارِب,غرب
291,94878,1072,عالم,world_1_N,عَالَم,0,عين-فتحة | ألف | لام-فتحة | ميم,"['world / universe, cosmos, existence / world, hereunder, worldly life / things, creation, that which exists before you / nation, people, group, type, or kind']",masc,عَالَمُون,علم
293,94882,1072,عالم,world_5_N,عَالَم,0,عين-فتحة | ألف | لام-فتحة | ميم,"['world / universe, cosmos, existence / world, hereunder, worldly life / things, creation, that which exists before you / nation, people, group, type, or kind']",masc,عَالَمُون,علم
295,95265,371,سنة,year_1_N,سَنَة,0,سين-فتحة | نون-فتحة | تاء مربوطة,['year'],fem,سَنَوَات,سنه
