,wiki_idx,en_entry,ar,vocal_forms,wiki_pos,ar_letters,senses,tim_translit,file,gender,other_gender_form,masc_pl,fem_pl,root
31,-1,added_A,مضاف,مُضاف,adj,ميم-ضمة | ضاد | ألف | فاء,[''],muDAf,157_20231122.1302_Q79_Q34,masc,,,,
1,-1,authoritarian_1_A,استبدادي,اِسْتِبْدادِي,adj,ألف-كسرة | سين-سكون | تاء-كسرة | باء-سكون | دال | ألف | دال-كسرة | ياء,[''],AisotibodAdiy,7_20231122.1302_Q79_Q34,masc,,,,
14,-1,median_3_A,الوسيط,الوَسِيط,adj,ألف | لام | واو-فتحة | سين-كسرة | ياء | طاء,[''],AlwasiyT,76_20231122.1302_Q79_Q34,masc,,,,
16,-1,nordic_2_A,الشمال,الشَّمال,adj,,[''],,84_20231122.1302_Q79_Q34,masc,,,,
2,4973,domestic_1_A,محلي,مَحَلِّيّ,adj,ميم-فتحة | حاء-فتحة | لام-شدة-كسرة | ياء-شدة,"['local, national']",maHal~iy~,31_20231122.1302_Q79_Q34,masc,مَحَلِّيَّةٌ,مَحَلِّيُّونَ,مَحَلِّيَّات,
3,117599,following_2_A,تالي,تَالِي,adj,تاء-فتحة | ألف | لام-كسرة | ياء,[''],taAliy,41_20231122.1302_Q79_Q34,masc,تَالِية,,,
7,10802,full_3_A,ممتلئ,مُمْتَلِئ,adj,ميم-ضمة | ميم-سكون | تاء-فتحة | لام-كسرة | همزة على الياء,"['full, filled, filled up, replete']",mumotali},45_20231122.1302_Q79_Q34,masc,مُمْتَلِئَةٌ,مُمْتَلِئُونَ,مُمْتَلِئَات,ملء
8,124714,gross_1_A,إجمالي,إِجْمَالِيّ,adj,همزة تحت الألف-كسرة | جيم-سكون | ميم-فتحة | ألف | لام-كسرة | ياء-شدة,"['comprehensive, general, total']",<ijomaAliy~,50_20231122.1302_Q79_Q34,masc,إِجْمَالِيَّةٌ,إِجْمَالِيُّونَ,إِجْمَالِيَّات,جمل
11,124077,individual_4_A,فردي,فَرْدِيّ,adj,فاء-فتحة | راء-سكون | دال-كسرة | ياء-شدة,"['single / individual, personal / odd, uneven']",farodiy~,59_20231122.1302_Q79_Q34,masc,فَرْدِيَّةٌ,فَرْدِيُّونَ,فَرْدِيَّات,فرد
15,115192,moderate_1_A,معتدل,مُعْتَدِل,adj,ميم-ضمة | عين-سكون | تاء-فتحة | دال-كسرة | لام,"['straight, even, proportionate / temperate, mild, moderate']",muEotadil,79_20231122.1302_Q79_Q34,masc,مُعْتَدِلَةٌ,مُعْتَدِلُونَ,مُعْتَدِلَات,عدل
196,5922,absolute_3_A,مطلق,مُطْلَق,adj,ميم-ضمة | طاء-سكون | لام-فتحة | قاف,"['absolute, utter, very, unlimited, unrestricted / downright / sovereign / liberated, free / implicit']",muTolaq,0_20231201.1559_Q79_Q34,masc,مُطْلَقَةٌ,مُطْلَقُونَ,مُطْلَقَات,طلق
29,3016,administrative_A,حاكم,حَاكِم,adj,حاء-فتحة | ألف | كاف-كسرة | ميم,"['ruling, governing / decisive']",HaAkim,153_20231122.1302_Q79_Q34,masc,حَاكِمَةٌ,حَاكِمُون,حَاكِمَات,حكم
218,25071,communist_A,شيوعي,شُيُوعِيّ,adj,شين-ضمة | ياء-ضمة | واو | عين-كسرة | ياء-شدة,['communist / Communist / communal'],$uyuwEiy~,12_20231201.1559_Q79_Q34,masc,شُيُوعِيَّةٌ,شُيُوعِيُّونَ,شُيُوعِيَّات,
220,8330,constitutional_2_A,دستوري,دُسْتُورِيّ,adj,دال-ضمة | سين-سكون | تاء-ضمة | واو | راء-كسرة | ياء-شدة,['constitutional'],dusotuwriy~,13_20231201.1559_Q79_Q34,masc,دُسْتُورِيَّةٌ,دُسْتُورِيُّونَ,دُسْتُورِيَّات,
234,25151,democratic_1_A,ديمقراطي,دِيمُقْرَاطِيّ,adj,دال-كسرة | ياء | ميم-ضمة | قاف-سكون | راء-فتحة | ألف | طاء-كسرة | ياء-شدة,['democratic'],diymuqoraATiy~,17_20231201.1559_Q79_Q34,masc,دِيمُقْرَاطِيَّةٌ,دِيمُقْرَاطِيُّونَ,دِيمُقْرَاطِيَّات,
248,10031,former_3_A,سابق,سَابِق,adj,سين-فتحة | ألف | باء-كسرة | قاف,"['preceding, previous / former / active participle of سَبَقَ (sabaqa).']",saAbiq,22_20231201.1559_Q79_Q34,masc,سَابِقَةٌ,سُبَّاق,سَابِقَات,سبق
10,5211,high_1_A,عالي,عَالِي,adj,عين-فتحة | ألف | لام-كسرة | ياء,[''],EaAliy,57_20231122.1302_Q79_Q34,,,,,
12,4262,large_1_A,كبير,كَبِير,adj,كاف-فتحة | باء-كسرة | ياء | راء,"['big, large / great, great importance / old (for a person)']",kabiyr,72_20231122.1302_Q79_Q34,masc,كَبِيرَةٌ,كُبَرَاء,كَبِيرَات,كبر
266,10173,low_1_A,قليل,قَلِيل,adj,قاف-فتحة | لام-كسرة | ياء | لام,"['few, little / scarce / short, thin, paltry, insignificant-looking']",qaliyl,34_20231201.1559_Q79_Q34,masc,قَلِيلَةٌ,أَقِلَّاء,قَلِيلَات,قلل
268,4970,military_2_A,عسكري,عَسْكَرِيّ,adj,عين-فتحة | سين-سكون | كاف-فتحة | راء-كسرة | ياء-شدة,['military'],Easokariy~,35_20231201.1559_Q79_Q34,masc,عَسْكَرِيَّةٌ,عَسَاكِر,عَسْكَرِيَّات,
17,788,obligatory_1_A,واجب,وَاجِب,adj,واو-فتحة | ألف | جيم-كسرة | باء,"['necessary, indispensable, unavoidable, essential, inevitable, inescapable, requisite / binding, obligatory, incumbent, imperative / proper, adequate, fair']",waAjib,87_20231122.1302_Q79_Q34,masc,وَاجِبَةٌ,وَاجِبُونَ,وَاجِبَات,وجب
293,127672,parliamentary_2_A,برلماني,بَرْلَمَانِيّ,adj,باء-فتحة | راء-سكون | لام-فتحة | ميم-فتحة | ألف | نون-كسرة | ياء-شدة,['parliamentary'],barolamaAniy~,42_20231201.1559_Q79_Q34,masc,بَرْلَمَانِيَّةٌ,بَرْلَمَانِيُّونَ,بَرْلَمَانِيَّات,
26,23237,total_1_A,مجموع,مَجْمُوع,adj,ميم-فتحة | جيم-سكون | ميم-ضمة | واو | عين,['united / reconciled'],majomuwE,126_20231122.1302_Q79_Q34,masc,مَجْمُوعَةٌ,مَجْمُوعُونَ,مَجْمُوعَات,جمع
199,64,arabic_A,عربي,عَرَبِيّ,adj,عين-فتحة | راء-فتحة | باء-كسرة | ياء-شدة,['Arab / Arabic / Arabian'],Earabiy~,2_20231201.1559_Q79_Q34,masc,عَرَبِيَّةٌ,عَرَب,عَرَبِيَّات,
4,4339,free_1_A,حر,حُرّ,adj,حاء-ضمة | راء-شدة,"['free / unimpeded / set free, freedman / born free and noble / virtuous, genuine, true, pure, good / unmixed']",Hur~,43_20231122.1302_Q79_Q34,masc,حُرَّةٌ,أَحْرَار,حُرَّات,حرر
256,120131,hybrid_A,هجين,هَجِين,adj,هاء-فتحة | جيم-كسرة | ياء | نون,"['hybrid, half-breed, mongrel']",hajiyn,26_20231201.1559_Q79_Q34,masc,هَجِينٌ,هِجَان,هَجَائِن,هجن
19,22237,official_1_A,رسمي,رَسْمِيّ,adj,راء-فتحة | سين-سكون | ميم-كسرة | ياء-شدة,"['official, legitimate / formal / normal / conventional, according to rule / ceremonial']",rasomiy~,89_20231122.1302_Q79_Q34,masc,رَسْمِيَّةٌ,رَسْمِيُّونَ,رَسْمِيَّات,
287,22237,official_3_A,رسمي,رَسْمِيّ,adj,راء-فتحة | سين-سكون | ميم-كسرة | ياء-شدة,"['official, legitimate / formal / normal / conventional, according to rule / ceremonial']",rasomiy~,40_20231201.1559_Q79_Q34,masc,رَسْمِيَّةٌ,رَسْمِيُّونَ,رَسْمِيَّات,
292,128098,orthodox_3_A,أرثوذكسية,أُرْثُوذُكْسِيَّة,adj,همزة على الألف-ضمة | راء-سكون | ثاء-ضمة | واو | ذال-ضمة | كاف-سكون | سين-كسرة | ياء-شدة-فتحة | تاء مربوطة,['feminine singular of أُرْثُوذُكْسِيّ (ʔurṯūḏuksiyy)'],>urovuw*ukosiy~ap,41_20231201.1559_Q79_Q34,,,,,
24,2788,square_1_A,مربع,مُرَبَّع,adj,ميم-ضمة | راء-فتحة | باء-شدة-فتحة | عين,"['square, quadratic / fourfold, quadruple / tetragonal, quadrangular']",murab~aE,120_20231122.1302_Q79_Q34,masc,مُرَبَّعَةٌ,مُرَبَّعُونَ,مُرَبَّعَات,
280,76,muslim_A,مسلم,مُسْلِم,adj,ميم-ضمة | سين-سكون | لام-كسرة | ميم,"['Muslim / submitting, accepting, believing.']",musolim,38_20231201.1559_Q79_Q34,masc,مُسْلِمَةٌ,مُسْلِمُون,مُسْلِمَات,سلم
223,21952,current_A,حاضر,حَاضِر,adj,حاء-فتحة | ألف | ضاد-كسرة | راء,"['present, before the eyes, ready (also applied to money) / second person']",HaADir,14_20231201.1559_Q79_Q34,masc,حَاضِرَةٌ,حُضُور,حَاضِرَات,حضر
22,4180,representative_3_A,ممثل,مُمَثِّل,adj,ميم-ضمة | ميم-فتحة | ثاء-شدة-كسرة | لام,['actor / representative (in government)'],mumav~il,106_20231122.1302_Q79_Q34,masc,مُمَثِّلة,,,مثل
