Wikitext,UDPipe
لَافِتَة,لَافِت
كَوْكَبَة,كُوكبَة
مُسْتَوًى,مُستَوَى
مُلَحِّن,مَُلُحِ
نَبَالَة,نِبَالَة
مُحَرِّر,المٌحرِّر
مَبْنًى,مَبنَى
مِفْتَاح,مُفتَاح
رَقْم,رَََّقُم
إِنْتَرْنَت,إِنتِرنِت
سُلَالَة,سَلَالَة
وَسْم,وَسَم
مُحَرِّك,مَحرَك
رُتْبَة,رِتبَة
نِدَاء,نَدَاء
مَوْسُوعَة,مَوسُوع
مَبْنًى,مَبنَى
مُنَظَّمَة,مُُنظََِّم
لَوْن,لُون
سِجِلّ,سَجل
مِحْرَف,مُِحَرَف
مُرَاجَعَة,مُِرَاجِعَّة
مُحْتَرِف,مُحتَرَف
مَرْجِع,مُرَجَّع
مُكَوِّن,مَُكُوِ
رَمْز,رَََّمُز
مُكَوِّن,مُكَوَّن
مُحَدِّث,مُحَدَّث
طَبْعَة,طَبَعَة
سَرْد,سِرد
وَصْلَة,وُصلَة
حَوْسَبَة,حَوسِبَة
أَلِفْبَائِيَّة,أُلفبَائِيّ
مَكْنَز,مََكُنز
ضَبْط,ضََبَط
مِهْنَة,مَهَنَّة
طَاقَم,طَاقِم
خَيَال,خِيَال
صِمَام,صَمَام
سَعَة,سِعَّة
مُكَوِّن,مُكُون
صِحَافَة,صَحَافَة
خَيَال,رِيَال
وِجْهَة,وَجهَة
نِفْط,نَفط
هِجَاء,هَجَاء
دَرَّاجَة,دِرَاجَة
قَالَب,قَالِب
حَيَوَان,حُيوَان
شِطْرَنْج,شَطرَنج
مُمَثِّلَة,مُمَثَّل
دَالَّة,حَالَة
وَرْشَة,وَرَشَة
مُعْجَم,مَعجِم
مَرْأَة,اِمرَأَة
مَكْتَب,مُكَتَّب
سَطْر,سَطَر
مَاشِيَة,مَاشِي
مُسْتَوًى,مُستَوَى
مَيَلَان,مِيلَان
عَرْض,عََرَض
زِنْك,زَنك
مُحْتَوًى,مُحتَوَى
لُزُوجَة,لَزوجَة
بُخَار,بَخَار
خَلِيَّة,خَلِيّ
قُطْب,قَطَب
عَمْق,عُمق
عَضَلَة,عُضلَة
مُلَحِّن,مَلحَن
مُزَوِّد,مُزَوَّد
نُسْخَة,نَسخَة
سَقْف,سَقَف
رَكِيزَة,رَكِيز
لَفَّة,لِفَة
حُطَام,حِطَام
مَسْرَح,مُسَرَّح
مَتْحَف,مُُتَحَف
اِحْتِمَالِيَّة,اِحتِمَالِيّ
صِبْغَة,صَبغَة
شَفَّافِيَّة,شَفَافيَِّ
قَالَب,قَالِب
أَرْشِيف,أِرشِيَّف
أَلْبُوم,بَوم
عَتَبَة,عُتبَة
غُلَام,غَلَام
طَاقَم,طَاقِم
سَطْر,سَطَر
ذُرْوَة,ذَروَة
جُزَيْء,جَزِيء
زَلْزَال,زِلزَال
مُسْتَنَد,مُستَنِد
مُسْتَوْطَنَة,مُسَتوطِنَة
حِضَانَة,حَضَانَة
دَوَاء,دِوَاء
مُصَمِّم,مُصَمَّم
جُولْف,جَولَف
أُجْرَة,أَجرَة
بَصْمَة,بُصمَة
نِظَام,اِِِّظَام
خِرِّيج,خَرِيج
عَمُود,عُمُود
مُتَسَابِق,مُُتسَابَق
مُنْتَدًى,مُنتَدَى
دِرْع,دَرع
مُتَسَابِق,مُتَسَاِب
فَخَّار,فِخَار
صَلَاحِيَة,صَلَّاح
قِدِّيس,قَدِيس
صِحَافَة,صَحَافَة
مُحَاضَرَة,مُحَاضِرَة
سَحَر,سِحر
مُحْتَرِف,مُحتَرَف
سَدّ,سُدّ
سَدّ,سُدّ
مُمَثِّل,مُُمَثِِّ
مُكَعَّب,مَكعَب
كِيَان,كََِيَان
رِحَالَة,رَحَالَة
مَطَار,مِطَار
خَوَارِزْمِيَّة,خُوَارزمَيَة
مَعْنًى,مَعنَى
رَادْيُو,رَادِيُو
أُغْنِيَّة,أَغَنِيّ
مَوْطِن,مُوطِن
إِنْجِيل,إَنجِيل
مُحَرِّك,مَحرَك
زَخْرَفَة,زَخرِفَة
طَابَق,طَابِق
لُكْنَة,لَكنَة
طَعْم,طَََّعُم
أَرْشِيف,أرَشف
مَسّ,مِس
أُغْنِيَّة,أَغَنِيَّة
مُرَاجَعَة,مُرَاجِعَة
قُبَّعَة,قَبعَة
مُشَارِك,مَشرَكَة
قَبُول,قُبُول
أَغْلَبِيَّة,أَغلَبِيّ
إِنْتَرْنَت,إِنتِرنِت
مُصَنَّف,مَصنَف
مِهْرَجَان,مَهرَجَان
مُهَاجَرَة,مُهَاجِرَة
مَكْنَز,مََُكِّن
مَخْزَن,مَخزِن
فَنّ,فِن
تِلْفَاز,تُلفَاز
فَنّ,فُنُِّ
مُحَرِّك,مُحَرَّك
رُتْبَة,رِتبة
قِدِّيس,قَدِيس
بُؤْرَة,بَؤرَة
مَسْرَح,مُسَرَّح
مُسْتَشْفًى,مُستَشفَى
خَطَّاط,خِطَاط
تِلْفَاز,اِلتَلَف
رَسَّام,رَسِيم
مُلَاكِم,مَلكَم
مَوْرِد,مُوَرِّد
نَقَاوَة,نِقَاوَة
كَرَاهِيَة,كِرَاهِيّ
مَثْلَجَة,مُثَلَّج
مُسْتَشْفًى,مُستَشفَى
حَشَرة,حُشرَة
مُشْرِف,مَُُشِّر
حِضَانَة,حَضَانَة
مُعْجَم,مَُعجِم
مُعْجَم,مُعَجَّم
مُرَشَّح,رُشَََّح
مَقْبَرَة,مُقبِر
تَوَزُّع,تَوَزَُّ
مَعْرِض,مَُعَرَض
وَصْلَة,وُصلَة
مَنْح,مَِنَح
مُحْتَوًى,مُحتَوَى
دِيوَان,دُيوَان
مُنْتَدًى,مُنتَدَى
43,38
710,